Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,Twentyten,Twentyeleven,Twentytwelve,Twentythirteen,Twentyfourteen,Twentyfifteen,Twentysixteen,Twentyseventeen,Twentyeighteen,Twentynineteen
Austria,13031.03,13677.46,13953.95,14438.36,15220.82,15648.53,16416.01,16783.89,17443.71,18474.54,19573.87,20483.45,21628.97,22561.37,23410.89,23387.71,24501.75,25736.55,25703.14,27126.18,27595.84,27485.83,28018.54,28898.22,28914.86,29623.43,30285.93,30677.54,31643.81,32726.06,33889,34707.07,35045.84,34941.14,35643.03,36537.99,37346.01,38084.7,39405.42,40727.48,42001.21,42370.93,42859.33,43052.6,43956.58,44637.86,45951.73,47510.29,48053.48,46123.49,46858.04,48065.32,48172.24,47901.37,47842.75,47789.39,48259.94,49112.73,50056.74,50654.73
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3167.06,3096.45,2360.61,1787.94,1416.44,1235,1238.48,1297.73,1414.02,1505.39,1658.81,1808.96,1964.99,2149.23,2327.65,2948.21,3921.03,4863.98,5267.37,5642.5,5842.81,5676.45,5724.92,5981.58,6072.65,6063.72,5812.61,5764.69,5800.72,5879.99
Burundi,213.4,180.55,193.19,197.31,205.4,208.85,213.24,236.54,229.92,221.45,263.64,266.98,247.1,261.53,256.69,254.68,269.8,294.23,284.46,281.92,277.45,303.23,292.28,295.2,287.75,312.87,314.06,322.09,329.03,324.77,327.99,336.58,332.77,305.95,289.2,262.38,238.47,232.31,240.84,235.31,229.21,228.66,232.47,222.81,226.29,221.1,225.62,225.86,229.15,230.19,234.24,235.99,238.82,242.85,245.33,228.43,219.96,214.14,210.8,208.07
Belgium,13020.54,13623.43,14276.54,14786.83,15666.52,16077.68,16473.43,17015.66,17659.71,18777.27,19807.72,20559.72,21563.87,22867.94,23836.81,23300.76,24573.94,24697.3,25375.49,25946.21,27069.43,26994.54,27162.53,27249.4,27921.9,28374.65,28881.56,29522.58,30818.85,31772.39,32671.63,33147.13,33518.23,33066.41,34028.41,34767.02,35157.69,36403.25,37038.25,38262.63,39588.6,39886.49,40385.87,40634.59,41903.98,42641.68,43442.57,44710.39,44556.82,43306.6,44141.88,44309.63,44361.21,44355.37,44855.96,45503.35,45942.83,46637.51,47116.35,47540.93
Benin,711.94,724.1,688.95,710.19,744.8,770.41,783.14,776.21,789.78,795.67,795.16,766.35,797.65,808.58,816.25,757.81,745.78,763.28,753.01,781.25,812.1,868.87,863.96,803.44,842.77,880.46,873.84,835.91,838.93,790.1,833.61,839.99,835.26,853.6,841.51,863.47,872.92,895.44,903.77,924.36,949.74,970.59,985.21,988.63,1001.85,989.37,999.02,1029.03,1049.37,1043.96,1036.53,1037.75,1057.67,1102.53,1140.45,1129,1134.92,1166.76,1211.32,1259.81
Burkina Faso,268.72,275.86,288.89,281.39,283.81,290.17,287.2,307.47,311.61,312.51,307.51,306.47,308.08,303.97,323.19,326.68,347.81,342.29,350.83,356.01,350.89,357.32,382.02,373.81,357.88,378.48,398.14,386.98,398.82,396.78,384.04,407.8,397.89,400.66,395.01,406.28,438.73,453.64,473.33,494.23,489.46,507.12,514.19,538.47,546.36,576.37,594.38,600.46,616.35,615.69,647.84,670.26,692.45,711.04,720.15,726.65,747.83,771.25,800.56,822.38
Bangladesh,372.03,383.78,393.63,380.96,410.57,404.79,402.3,382.21,405.53,398.95,411.18,380.95,322.33,328.07,353.76,332.89,343.95,344.44,359.09,366.24,359.46,375.43,373.55,378.09,386.06,388.64,394.34,398.59,397.76,398.85,411.16,415.71,428.66,439.23,446.65,459.61,470.27,481.12,495.63,508.39,524.95,541.29,551.9,568.14,588.33,617.54,649.93,687.32,720.36,748.3,781.15,822.19,865.75,907.26,951.31,1002.39,1062.04,1127.27,1203.22,1287.82
Bulgaria,,,,,,,,,,,,,,,,,,,,,3651.3,3817.47,3895.06,4018.63,4145.41,4256.71,4436.99,4698.71,5207.12,5095.08,4714.82,4359.6,4086.2,4057.96,4145.78,4283.4,4526.8,3908.04,4102.8,3784.2,3984.8,4220.08,4569.43,4843.05,5194.09,5607.71,6034.82,6477.99,6920.62,6726.89,6809.9,7014.84,7081.03,7143.46,7320.29,7661.06,8009.04,8350.66,8670.6,9026.25
Bahrain,,,,,,,,,,,,,,,,,,,,,21185,19295.61,17290.84,17906.03,18304.68,16926.47,16571.52,17663.56,18240.74,17702.5,17934.76,19407.65,20178.52,22218.06,21623.23,21910.34,22220.78,22281.78,22634.99,22761.15,22955.24,22416.23,21981.92,22058.87,22144.61,22066.21,21795.64,21837.51,21562.66,20796.2,20722.14,20516.59,20924.71,21805.12,22395.31,22435.73,22336.78,22128.43,21478.11,20913.07
Bahamas,17734.57,18673.83,19608.74,20609,21688.33,22863.65,23860.63,25081.94,26161.01,27535.28,25196,24941.41,23530.95,24802.55,20245.22,16903.5,17410.11,18599.82,20775.81,25633.19,26700.94,23704.43,24734.33,25066.21,28016.07,28786.22,28759.28,29099.7,29268.9,30706.56,29686.9,27923.97,26348.85,25938.54,26291.98,27018.34,27783.26,28022.68,29017.29,30723.98,31570.53,31910.51,32236.45,31272.84,30978.58,31442.28,31632.45,31485.49,30190.75,28440.07,28443.41,28248.85,28799.92,27676.9,27620.1,27519.85,27370.2,27113.68,27261.21,27477.96
