LOCATION,TIME,Value
Israel,2009-Q3,1.031114116
Israel,2009-Q4,1.266185996
Turkey,2008-Q1,2.106492108
Turkey,2008-Q2,-3.548598571
Turkey,2008-Q3,-1.816869974
Turkey,2008-Q4,-2.540031551
Turkey,2009-Q1,-5.664019566
Turkey,2009-Q2,4.006998137
Turkey,2009-Q3,2.395761074
Turkey,2009-Q4,1.952357185
India,2008-Q1,0.6059
India,2008-Q2,1.04386
India,2008-Q3,0.87024
India,2008-Q4,0.12257
India,2009-Q1,-1.84614
India,2009-Q2,5.80366
India,2009-Q3,2.55388
India,2009-Q4,2.12673
Latvia,2008-Q1,1.933521939
Latvia,2008-Q2,-3.530394106
Latvia,2008-Q3,-4.104839908
Latvia,2008-Q4,-2.43615151
Latvia,2009-Q1,-3.66489206
Latvia,2009-Q2,-5.663094132
Latvia,2009-Q3,-4.975207039
Latvia,2009-Q4,0.265899191
Czech Republic,2008-Q1,0.509873064
Czech Republic,2008-Q2,0.686204274
Czech Republic,2008-Q3,0.212268594
Czech Republic,2008-Q4,-1.891951335
Czech Republic,2009-Q1,-3.373717228
Czech Republic,2009-Q2,-0.369001914
Czech Republic,2009-Q3,0.449505515
Czech Republic,2009-Q4,0.083592496
Poland,2008-Q1,1.964497155
Poland,2008-Q2,0.386918544
Poland,2008-Q3,-0.428556509
Poland,2008-Q4,0.238231855
Poland,2009-Q1,1.685471917
Poland,2009-Q2,0.023595831
Poland,2009-Q3,0.630880178
Poland,2009-Q4,2.404023794
Germany,2008-Q1,0.63217597
Germany,2008-Q2,-0.254453208
Germany,2008-Q3,-0.627122273
Germany,2008-Q4,-1.604455992
Germany,2009-Q1,-4.674413401
Germany,2009-Q2,0.159652865
Germany,2009-Q3,0.546506369
Germany,2009-Q4,0.736041612
Indonesia,2008-Q1,2.194758055
Indonesia,2008-Q2,1.499136362
Indonesia,2008-Q3,1.367506157
Indonesia,2008-Q4,0.145675093
Indonesia,2009-Q1,1.357897303
Indonesia,2009-Q2,1.272388359
Indonesia,2009-Q3,1.548934182
Indonesia,2009-Q4,1.463455769
Luxembourg,2008-Q1,-0.399173787
Luxembourg,2008-Q2,-0.633097966
Luxembourg,2008-Q3,-0.881684515
Luxembourg,2008-Q4,-3.182121626
Luxembourg,2009-Q1,-1.394559665
Luxembourg,2009-Q2,-1.761944324
Luxembourg,2009-Q3,1.692246921
Luxembourg,2009-Q4,1.86913329
South Africa,2008-Q1,0.420211759
South Africa,2008-Q2,1.220867689
South Africa,2008-Q3,0.238976325
South Africa,2008-Q4,-0.569326977
South Africa,2009-Q1,-1.555488275
South Africa,2009-Q2,-0.343174632
South Africa,2009-Q3,0.231904261
South Africa,2009-Q4,0.666768546
Russia,2008-Q1,2.653171822
Russia,2008-Q2,0.621602394
Russia,2008-Q3,-1.490668597
Russia,2008-Q4,-3.252211484
Russia,2009-Q1,-3.526981758
Russia,2009-Q2,-1.458860781
Russia,2009-Q3,0.410425161
Russia,2009-Q4,1.081708456
Portugal,2008-Q1,0.007673184
Portugal,2008-Q2,-0.492606075
Portugal,2008-Q3,-0.082530827
Portugal,2008-Q4,-1.291756647
Portugal,2009-Q1,-2.516670472
Portugal,2009-Q2,0.089438207
Portugal,2009-Q3,0.882224183
Portugal,2009-Q4,0.047782666
Italy,2008-Q1,1.059917706
Italy,2008-Q2,-0.919169438
Italy,2008-Q3,-1.183794181
Italy,2008-Q4,-2.499396739
Italy,2009-Q1,-2.775615771
Italy,2009-Q2,-0.307608127
Italy,2009-Q3,0.485148444
Italy,2009-Q4,0.292177258
Austria,2008-Q1,0.478738808
Austria,2008-Q2,0.982348117
Austria,2008-Q3,-0.587159535
Austria,2008-Q4,-2.271759739
Austria,2009-Q1,-1.768030202
Austria,2009-Q2,-0.81692088
Austria,2009-Q3,0.487602343
Austria,2009-Q4,0.384447592
Ireland,2008-Q1,-3.965012481
Ireland,2008-Q2,-2.272354227
Ireland,2008-Q3,0.319978046
Ireland,2008-Q4,-4.724041562
Ireland,2009-Q1,-0.141943336
Ireland,2009-Q2,-0.405450563
Ireland,2009-Q3,-0.56101185
Ireland,2009-Q4,-1.411726745
Switzerland,2008-Q1,0.875451318
Switzerland,2008-Q2,0.659829917
Switzerland,2008-Q3,0.122389599
Switzerland,2008-Q4,-1.922907652
Switzerland,2009-Q1,-1.572028967
Switzerland,2009-Q2,0.012277335
Switzerland,2009-Q3,0.987720915
Switzerland,2009-Q4,0.248740899
New Zealand,2008-Q1,-0.234098488
New Zealand,2008-Q2,-0.461677257
New Zealand,2008-Q3,-0.244960517
New Zealand,2008-Q4,-0.792429362
New Zealand,2009-Q1,-1.000101113
New Zealand,2009-Q2,-0.083535372
New Zealand,2009-Q3,0.570978696
New Zealand,2009-Q4,1.247517661
Chile,2008-Q1,2.407594218
Chile,2008-Q2,0.091968433
Chile,2008-Q3,-0.730429495
Chile,2008-Q4,-0.814395506
Chile,2009-Q1,-1.135292585
Chile,2009-Q2,-0.526968981
Chile,2009-Q3,1.180482463
Chile,2009-Q4,1.351642245
Sweden,2008-Q1,-0.39637929
Sweden,2008-Q2,-0.214129477
Sweden,2008-Q3,-0.531235045
Sweden,2008-Q4,-3.821205604
Sweden,2009-Q1,-0.87110779
Sweden,2009-Q2,-0.194661354
Sweden,2009-Q3,-0.208849238
Sweden,2009-Q4,0.230448974
France,2008-Q1,0.449344141
France,2008-Q2,-0.470547494
France,2008-Q3,-0.31295105
France,2008-Q4,-1.397071232
France,2009-Q1,-1.660368405
France,2009-Q2,-0.10442501
France,2009-Q3,0.155811348
France,2009-Q4,0.726647361
Greece,2008-Q1,0.611597606
Greece,2008-Q2,-0.639736483
Greece,2008-Q3,-0.097483141
Greece,2008-Q4,-1.397015176
Greece,2009-Q1,-4.747780617
Greece,2009-Q2,2.776841903
Greece,2009-Q3,-0.725436891
Greece,2009-Q4,0.128217041
OECDE,2008-Q1,0.562503
OECDE,2008-Q2,-0.461309
OECDE,2008-Q3,-0.695491
OECDE,2008-Q4,-1.805819
OECDE,2009-Q1,-2.851986
OECDE,2009-Q2,0.157603
OECDE,2009-Q3,0.480284
OECDE,2009-Q4,0.580446
G-7,2008-Q1,-0.03431
G-7,2008-Q2,0.046259
G-7,2008-Q3,-0.694835
G-7,2008-Q4,-2.059065
G-7,2009-Q1,-2.274083
G-7,2009-Q2,0.151526
G-7,2009-Q3,0.315643
G-7,2009-Q4,0.965566
G-20,2008-Q1,0.75192
G-20,2008-Q2,0.52695
G-20,2008-Q3,0.00347
G-20,2008-Q4,-1.32534
G-20,2009-Q1,-1.55382
G-20,2009-Q2,1.03217
G-20,2009-Q3,1.25857
G-20,2009-Q4,1.40289
Columbia,2008-Q1,0.394571457
Columbia,2008-Q2,0.690771614
Columbia,2008-Q3,1.225547701
Columbia,2008-Q4,-1.822148524
Columbia,2009-Q1,0.377015474
Columbia,2009-Q2,1.04690123
Columbia,2009-Q3,0.706043447
Columbia,2009-Q4,0.885469025
EA19,2008-Q1,0.422628
EA19,2008-Q2,-0.300177
EA19,2008-Q3,-0.519652
EA19,2008-Q4,-1.762933
EA19,2009-Q1,-3.136616
EA19,2009-Q2,-0.0288
EA19,2009-Q3,0.387767
EA19,2009-Q4,0.456651
Lithuania,2008-Q1,-0.490035105
Lithuania,2008-Q2,0.66826847
Lithuania,2008-Q3,-1.245050091
Lithuania,2008-Q4,-0.792709496
Lithuania,2009-Q1,-12.85817729
Lithuania,2009-Q2,-1.319400421
Lithuania,2009-Q3,0.412855649
Lithuania,2009-Q4,-1.087864526
Bulgaria,2008-Q1,1.729416043
Bulgaria,2008-Q2,1.105449089
Bulgaria,2008-Q3,1.0366095
Bulgaria,2008-Q4,0.290942219
Bulgaria,2009-Q1,-3.867545106
