Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,Twentyten,Twentyeleven,Twentytwelve,Twentythirteen,Twentyfourteen,Twentyfifteen,Twentysixteen,Twentyseventeen,Twentyeighteen,Twentynineteen,Twentynineteen_growth
Dominican Republic,672399700,654100200,824100000,940799900,1025599900,888100000,983900000,1034800000,1079100000,1230500000,1485500000,1666500000,1987400000,2344800000,2925700000,3599200000,3951500000,4587100000,4734400000,5498800000,6761300000,7561300000,8267400000,9220600000,11594000000,5044592945,6122198120,5826987099,5374314928,6686593060,7073675545,9734321854,11356271336,13081042400,14664237667,16598679279,18241691857,20017908829,21672526563,22137599986,24305116729,25599311449,27362875603,21642882856,22692574473,36119047252,38116351526,43965420072,48122547177,48261033298,53860175556,58029750746,60681537196,62682163837,67179914027,71164825257,75704720190,79997975622,85555378043,88941298258,5.087176037
Sri Lanka,1409873950,1444327731,1434156379,1240672269,1309747899,1698319328,1751470588,1859465021,1801344538,1965546218,2296470588,2369308600,2553936348,2875625000,3574586466,3791298146,3591319857,4104509583,2733183857,3364611432,4024621900,4415844156,4768765017,5167913302,6043474843,5978460972,6405210564,6682167120,6978371581,6987267684,8032551173,9000362582,9703011636,10338679636,11717604209,13029697561,13897738375,15091913884,15794972847,15656327860,16330814180,15749753805,16536535647,18881765437,20662525941,24405791045,28279814925,32350248411,40713812310,42066217872,56725749222,65292753005,68434409315,74317806538,79356449841,80604080689,82401038710,87428125558,88425889592,84008783756,2.283465301
Oman,,,,,,63287595,67768132,107152720,188864891,239980802,256299496,301010587,366857738,483033932,1645917776,2096699189,2560220035,2741169948,2740301390,3733352635,5981760278,7259120151,7554719456,7932541691,8821366532,10005500579,7323822251,7811183095,8386215865,9372171651,11685045514,11341482445,12452275683,12493107932,12918855657,13802600780,15277763329,15837451235,14085373212,15710148244,19507412224,19452015605,20142782835,21633810143,24763589077,31081924577,37215864759,42085305592,60905331599,48388296489,57048114434,68016905072,76615864759,78784395319,81076462939,68400260078,65481144343,70600000000,79275422627,76983094928,0.5
Guatemala,1043599900,1076699900,1143600000,1262800000,1299099900,1331399900,1390700000,1453500000,1610500000,1715399900,1904000000,1984800000,2101300000,2569200100,3161499900,3645900000,4365300200,5480500200,6070600200,6902600200,7878700000,8607500300,8716999700,9050000400,9470000100,9721652087,7231963516,7084399840,7841602824,8410724361,7650125217,9406097735,10440842165,11399942453,12983235568,14655404433,15674835615,17790026222,19395491993,18318412251,19288827159,18702802522,20776403774,21917430694,23965275794,27211377107,30231249625,34113107372,39136436614,37733609795,41338008613,47654783852,50388460925,52996540576,57852399834,62186186576,66053725049,71612352781,73118147808,76710385880,3.845997853
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8905066164,6477790688,6777632512,10467109978,10567354056,11986972419,14502553710,20182477481,31862554102,36906181381,49540813342,59977326086,59937797559,60269734045,65446199788,67822772707,67184236747,68945867478,76168043982,76085852617,2.887960733
Luxembourg,703925706,704145671,741509481,791140596,903158754,921600736,968440150,974721763,1066447131,1234878981,1509155063,1572310772,1968733022,2701874664,3295861019,3233431611,3544268025,3922895892,4884869092,5711457760,6232005656,5231808670,4764549532,4683697830,4594891581,4738559685,6921264132,8614215559,9750161053,10391504709,13229247948,14321878795,16065740778,16486900187,18325791415,21588170498,21776609772,19731912494,20209122027,22235929043,21263514833,21272418792,23616328816,29557325056,34685281848,37347394603,42414308117,50888134410,55849686539,51370543206,53212476812,60004630234,56677961787,61739352212,66103853237,57744457955,60691483443,64181944723,70919958016,71104919108,2.296979166
Bulgaria,,,,,,,,,,,,,,,,,,,,,19839230769,19870000000,19342000000,16563666667,17594944444,17155421053,20249294118,28101000000,22555941176,21988444444,20632090909,10943548387,10350515464,10829710145,9697416974,18983303571,12294221473,11315986087,15030695297,13627323285,13245833844,14183497963,16402846413,21144983552,26157894737,29869283400,34379808889,44405101470,54438966420,51999181062,50363282117,57363610380,54013812089,55591336862,56883172568,50630703922,53785050339,58950125036,66200847918,67927179737,3.371615546
Ghana,1217230038,1302674264,1382515590,1540797517,1731296119,2053462872,2126300573,1747187539,1666910166,1962051319,2215029450,2417107708,2112292945,2465492958,2894409938,2810106383,2765254237,3189428571,3662478185,4020227920,4445228216,4222441615,4035994398,4057275043,4412279843,4504342149,5727602645,5074829932,5197840979,5251764264,5889174825,6596546196,6413901602,5966255778,5444560669,6465137615,6934984709,6891308594,7480968858,7719354839,4983024408,5314909954,6166330136,7632406553,8881368538,10731634117,20409668522,24758819718,28526891010,25977847814,32197272797,39337314810,41270954737,62405374786,53660342160,48564863888,55009730600,58998132330,65556464048,66983634224,6.478394805
Panama,537147100,599026300,652120900,722784500,776137500,852485300,928833000,1034376400,1112791100,1221305700,1351006400,1523917200,1673411700,1913793400,2188307600,2435304100,2588106000,2738261900,3244558600,3704551600,4614086400,5222421500,5769767900,5923755900,6183387100,6541517100,6797834200,6827665300,5902783400,5918469800,6433967000,7074675500,8042337700,8782585400,9365289800,9573813700,9870494000,10677286100,11575486400,12130252200,12304115000,12502013400,12994310400,13693981200,15013381700,16374393900,18141666300,21295984200,25155888600,27116635600,29440300000,34686200000,40429700000,45600000000,49921500000,54091700000,57907700000,62219000000,65128200000,66800800000,3.006389295
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100405772,4420168102,4258743263,4956588279,4601413264,4257702197,4510846968,5255221425,6496195451,7683852497,12270448700,12711213451,13375976354,13581644246,14142035080,15224257698,16675948415,18399046025,18649590248,21843529025,27941177435,29081425282,32014249841,34657139495,39650530214,45680532614,49964788814,47378599025,49774021003,53320625959,58001200572,63177068175,5.791371376
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21650000000,18000000000,17037037037,16280991736,14932024169,13972676841,14756846154,14128408566,15222012660,12138486532,12736856828,12354820144,14594249023,17827791321,23144351852,30207567317,36954312354,45277399814,60763483146,50874078052,57222490769,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54726595249,60031262269,63080457023,1.222096629
Costa Rica,507513830,490325182,479180824,511902137,542578367,592981162,647305630,699456619,773841494,853630204,984830159,1077152902,1238251696,1528916185,1666544754,1960863466,2412555426,3072427013,3523208810,4035519323,4831447001,2623807074,2606621255,3146770104,3660476459,3919203960,4418983871,4532952047,4614629898,5251025767,5711687787,7168999670,8528593421,9537297723,10432619325,11513472786,11618286652,12552071488,13617405297,14195623343,14949514493,15913363441,16504795593,17196009811,18528955525,19948261084,22602721765,26743972564,30612927059,30562361123,37268614024,42262697840,46473128286,49745088112,50577769838,54775994479,57157992434,58481858043,60553901420,61773944174,2.083859938
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22417412251,23710205734,23854819336,25466974683,23400452775,21669183469,23179763831,26815681492,34686502610,41594385430,45386774692,50454950478,60182902955,70288870870,62666199344,59807930156,62354273096,56494367810,58056933513,57642914304,49530641704,51596973259,55319605061,60991399904,60415553039,2.93606564
Cote d'Ivoire,546203562,618245639,645284345,761047046,921063266,919771356,1024103034,1082922892,1281281246,1361360157,1455482990,1584128262,1849400600,2508421235,3070151901,3893839190,4662053708,6265067858,7900524898,9142935858,10175615442,8432588484,7567109767,6838185419,6841638715,6977650069,9158302205,10087653189,10255170460,9757410614,10795850107,10492628915,11152971316,11045759469,8313557450,11000146839,12139234939,11722142706,12612033729,12376639823,10717022463,11192560827,12346919216,15306602560,16554441847,17084928927,17800887796,20343635320,24224903100,24277493862,24908781285,25414875503,26789047555,31273074528,35363533866,45814637971,47964234560,51588158718,57724731365,58792205642,6.852334587
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13360607918,13677622222,12941297376,13099013836,12899156991,13350468917,13948892216,14744603774,14988971211,17078465982,13760513969,11401421329,9687788513,10134453435,12030023548,14307509839,17330833853,22311393928,29549438884,33689223673,46679875794,56516280748,63628854499,68997168338,76658542757,81847410182,81779012351,59159945321,50392607758,57921286440,5.563723953
Uruguay,1242289239,1547388781,1710004407,1539681491,1975701816,1890769326,1809183975,1597721080,1593675330,2004435484,2137096774,2807258065,2189418001,3964295673,4090209682,3538283322,3667161241,4114667063,4910257283,7181185278,10163020116,11048335541,9178802163,5102281256,4850241442,4732017873,5880112788,7367494080,8213515459,8438951476,9298839655,11205971155,12878199881,15002106518,17474647792,19297663097,20515543039,23969823010,25385928198,23983945191,22823255802,20898788417,13606494599,12045631093,13686329890,17362857684,19579457966,23410572634,30366213119,31660911277,40284481652,47962439304,51264390116,57531233351,57236013086,53274304222,52687612262,59530088536,59596885023,56045912952,0.222121735
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7870782261,8385109020,10120274493,11240360898,10972878636,11539211480,12252498921,14278357284,18802576988,22649930576,26125575942,30216060233,39738180077,47850551149,37440673478,37034461707,43466133144,42842537129,46442055804,48526000845,41392396558,43021972485,47750908128,53455170034,54219315600,3.930407976
Macao,,,,,,,,,,,,,,,,,,,,,,,1130457130,1121486563,1292281654,1348827324,1517496131,1941246972,2269233639,2683254708,3220920085,3735117374,4879018602,5625533410,6265844252,6996034037,7122539667,7211264780,6742367273,6490571704,6720492406,6811227983,7322677820,8195033162,10585624891,12092222042,14789661809,18340447243,20917444920,21475520709,28123640999,36709860068,43031577366,51552075902,55347998648,45361678147,45387299721,50751059058,55084050790,53859116536,-4.710859447
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18198205508,13263688696,13101056604,13258920423,15049621395,21352223817,21507233003,20763101591,22146232112,22711383652,20289627637,20876309576,23489889975,29634713063,34414784504,36206396344,39481044913,48006373118,55552508715,50368056543,48161250935,51516367350,46580457470,48401896410,49930685013,43090173062,44651537260,48561672401,54034358544,53742159517,2.442991915
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3313540068,2717998688,2838485354,4690415093,5843579161,7941744492,9599127050,11718795528,13690217333,15751867489,17247179006,17391056369,17260364842,17649751244,19152238806,20082918740,21159827992,21497336499,22022709852,24827355015,29118916106,35399582929,38443907042,39927125961,44035991746,46909335135,48134486625,49939374833,51205122504,53140638269,54961275742,53367042272,-5.637170641
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28901836158,31995012469,33881392045,30657030223,28607921929,25544128199,27884615385,30698633109,27249786142,35976714101,38270206950,34110064452,20481889764,26265625000,33122307692,47334148578,54961936663,67516236338,87140405361,63028320702,74773444901,34699395524,81873662519,65502870174,41142722414,27842131480,26197143268,37883243650,52607888718,52076250948,2.535953478
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16832627119,21818026071,25676504913,19457979423,19388672126,6875844403,12960538724,17120906918,22482365322,26141969874,27683225959,32482070360,43170990616,52194221469,45162894381,41819468692,49258136129,43309252921,48394238300,47062205547,39628549950,40630392019,44120425320,50597289147,51409167351,4.1870987
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006036,8792365811,4991350458,3970953396,3313939554,3052467522,3176703092,3962735257,4446370371,4581246713,5272617196,5707720391,6235856820,7276013032,8680370408,13245716099,20982986344,33050343783,48852482960,44291490421,52902703376,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48047647059,2.218704277
"Congo, Dem. Rep.",3359404118,3086746857,3779841429,6213185743,2881545273,4043901818,4532660182,3384063372,3909780539,5032434970,4877684910,5594770359,6173712814,7870239461,9596960180,10237343174,9648583225,12344424764,15372608002,15068422236,14394927495,12537821038,13651667371,11006712650,7857729193,7195042616,8095367168,7661625473,8861299977,9021862775,9349764580,9625436873,8227343907,10706259937,5820382248,5643439376,5771454940,6090840548,6215591270,4711259427,19088046306,7438189100,8728038525,8937567060,10297483481,11964484668,14451902468,16737071816,19788515874,18648373312,21565720044,25839749199,29306235826,32679745298,35909040266,37917704900,37134799975,38019265626,46831342213,47319624204,4.384528881
Jordan,,,,,,599831980,658078970,631755811,561187343,698963876,639596752,678241389,788574629,943700548,1197454207,1363039400,1708734940,2096568479,2602748691,3271728272,3910036925,4384685230,4680567376,4920407601,4966710013,4993829194,6401380000,6755599114,6277197435,4220945005,4160003917,4344250257,5390688438,5685784384,6326420495,6821989155,7024203103,7347574048,8023356841,8263921016,8579280677,9101452750,9716868829,10338730606,11571424542,12765218618,15268053597,17350521862,22279907003,24154000000,26795901408,29244647887,31371056338,34064873239,36329267606,38043450704,39196676056,40708943662,42231295775,43743661972,2
Bolivia,373879364,406684586,444665186,478805990,539491477,604377104,669191919,755808081,857912458,929629630,1017003367,1095622896,1257615645,1262968516,2100249875,2404697651,2731984008,3227436282,3758220890,4421343606,4526916803,5872756933,5587490265,5422440962,6169501038,5377277407,3958338883,4323623622,4597615563,4715978868,4867582620,5343274312,5643893347,5734676561,5981244887,6715220507,7396966657,7925673448,8497545598,8285075872,8397912509,8141537938,7905485216,8082364868,8773451739,9549077869,11451869165,13120183157,16674324634,17339992165,19649631451,23963033588,27084497540,30659338784,32996188133,33000198263,33941126194,37508642113,40287647902,40895322865,2.216707101
Tunisia,,,,,,991047619,1040952381,1085714286,1214666667,1289904762,1439238095,1685217059,2237476420,2730787476,3545933562,4328610490,4507929104,5109324009,5968044210,7188191882,8744134354,8428513568,8133401050,8350176783,8254891864,8410185740,9018136020,9696271268,10096292842,10102075213,12290568182,13074782609,15497286296,14608946896,15632463424,18030876599,19587322786,20746360430,21803372267,22943685719,21473188882,22066101341,23142294436,27453084983,31183139301,32273007554,34378437265,38908069299,44856586316,43454935940,44050929160,45810626509,45044112939,46251061734,47632326088,43173480832,41801210428,39802430355,39770297329,38797709924,1.042780016
Cameroon,618740988,657597383,699373701,723624365,782384528,814139856,853268771,934079050,1053077155,1152418515,1160002261,1233991075,1430951332,1758727395,2255496995,2752771044,3076592431,3366368665,4409920644,5811444661,6740756569,7636345827,7322914570,7381854747,7801858825,8148223604,10621158533,12302471429,12493286762,11140055364,11151578051,12434370005,11396310990,15498179313,10600157684,9643953175,10513387442,10833497458,10612847429,11198378749,10083937740,10371327756,11579343088,14548845765,17430933517,17944084201,19356046328,22365265026,26409781215,26017925552,26169323293,29375448542,29102772799,32357345501,34989493826,30928653814,32643697596,35009262788,38694095651,38760467033,4.017216043
Bahrain,,,,,,,,,,,,,,,,,,,,,3072698328,3467819149,3645744681,3735106383,3905585106,3651861702,3052393617,3392021011,3702393617,3863563830,4229787234,4616223404,4751063830,5200265957,5567553457,5849467819,6101861436,6349202394,6183776596,6621010372,9062898936,8976196809,9593510638,11074813830,13150159574,15968723404,18504760638,21730000000,25710904255,22938218085,25713271277,28776595745,30749308511,32539468085,33387712766,31125851064,32250132979,35423643617,37652500000,38574069149,1.819569006
Paraguay,,,,,,443587302,465888889,492674603,517650794,556293651,594611111,664571429,769039683,995531746,1333475397,1511420635,1698960317,2092158730,2559857143,3416777778,4448087302,5624515873,5419411765,5673248726,4502462807,3282449236,3723993943,3971044724,4255683528,4757732200,5812114523,6984367763,7157424031,7249533620,7870982005,9062131475,9788391781,9965225678,9260481572,8837070236,8855705140,8495806432,7196260657,7691367471,9624440836,10737500188,13429430050,17856270473,24578067861,22341754514,27215968616,33715524704,33283228891,38585317743,40276532541,36164068797,36054281572,39008900332,40384691791,38145288940,-0.029914393
Uganda,423008386,441524109,449012579,516147799,589056604,884873950,925770308,967647059,1037815126,1169047619,1260084034,1417787115,1491596639,1702521008,2100142653,2359555556,2447300000,2936470588,2420260870,2139025000,1244610000,1337300000,2177500000,2240333333,3615647477,3519666339,3923232122,6269511615,6508931652,5276480986,4304398866,3321729057,2857457860,3220439044,3990430447,5755818947,6044585327,6269333313,6584815847,5998563258,6193246837,5840503869,6178563591,6336696289,7940362799,9013834373,9942597780,12292813603,14239026630,24924179656,26457287918,27646526402,27084639297,28681464765,32348119639,32124730771,28967460677,30756466548,32772824209,34387229486,6.507342527
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5770516258,5952007402,6508472054,7145882283,7518044679,7934206257,8334748153,9529948840,11731703358,14355307662,16909366521,21436812139,30897981124,35657998831,26250900751,23803906231,28490700601,28176625841,30272574650,31382780146,27090019663,27734140217,30273007510,34313873285,34117202555,2.197441768
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4006982535,4116735207,4497823918,4780169853,5147711226,5665917232,5762048126,5694069842,6259258258,7372457191,9877636518,12144397516,14098326328,17012321791,22445582946,24371299985,19744110447,19693608687,23391529311,23192709239,25271407239,26773472962,23048864243,23996451498,26859101054,30747159198,31386949981,4.334487473
Nepal,508334414,531959562,574091101,496947904,496098775,735267082,906811944,841974026,772228643,788641965,865975309,882765472,1024098805,972101725,1217953547,1575789254,1452792989,1382400000,1604162497,1851250008,1945916583,2275583317,2395429852,2447174803,2581207388,2619913956,2850784523,2957255380,3487009748,3525228153,3627562403,3921476085,3401211581,3660041667,4066775510,4401104418,4521580381,4918691917,4856255044,5033642384,5494252208,6007055042,6050875807,6330473097,7273938315,8130258041,9043715356,10325618017,12545438605,12854985464,16002656434,18913574371,18851513891,19271168018,20002968838,21410840909,21185922408,25180583770,29173513476,30641380604,6.991212438
Cambodia,637142866,642857134,660000009,728571437,782857129,868571429,914285714,962857134,1065714249,978873232,718401158,969911421,505549441,702899156,588443894,,,,,,,,,,,,,,,,,,,2533727592,2791435272,3441205693,3506695720,3443413389,3120425503,3517242477,3677897739,3984000517,4284028483,4658246918,5337833248,6293046162,7274595707,8639235842,10351914093,10401851851,11242275199,12829541141,14054443213,15227991395,16702610842,18049954289,20016747754,22177200512,24571753583,27089389787,7.054106932
El Salvador,,,,,,877720000,929520000,976200000,1009760100,1049400000,1132920000,1186120000,1263720000,1442320000,1665880000,1884120100,2328280100,2941640100,3127960000,3463639900,3573959900,3437200200,3399189100,3506347800,3661683400,3800368600,3771663200,3958045800,4189880000,4372215300,4817542204,5252342400,5813399300,6680269200,7679384000,8921947100,9586327800,10221705900,10936669900,11284197000,11784927700,12282533600,12664190300,13243892200,13724810900,14698001400,15999886400,17011750900,17986890000,17601620000,18448000000,20284000000,21386000000,21990970000,22593480000,23438240000,24191440000,24979200000,26117400000,27022640000,2.382362908
Honduras,335650000,356200000,387750000,410200000,457000000,508650000,549950000,598100000,646800000,668000050,723000000,731000000,802999950,912499950,1034500000,1124000000,1347999950,1669499950,3097242093,3544281976,3968160046,4043894879,4266503526,4476697185,4915311846,5278120713,5677828959,6190521241,5902717092,5432344902,4923009552,4648668479,4943700431,4926728933,4642280682,5347445005,5215028986,5737099650,6366340266,6414520530,7103507989,7565869928,7775078403,8140271081,8772146605,9672035709,10841742348,12275501784,13789715133,14587496229,15839344592,17710315006,18528601901,18499710128,19756494435,20979767785,21717622071,23136232230,24024189736,25095395475,2.65276116
Papua New Guinea,230496033,244832035,261184037,275968040,305312044,344159480,390973233,441706910,485160824,551237317,645537126,717716131,858802036,1299105241,1467346060,1356591177,1511856584,1640763204,1947947524,2293621944,2545983008,2498068351,2368584970,2562492525,2552526263,2423373088,2648033766,3143848331,3655979702,3546460177,3219730365,3787394958,4377980510,4974550286,5502786070,4636057476,5155311077,4936615299,3789443015,3477038204,3521339699,3081024212,2999511040,3536411824,3927157867,4865892972,8355006707,9545177014,11670840932,11619637799,14250755231,17984910502,21295659244,21261432791,23210682538,21723531173,20759069103,22742613554,23412495063,24969611435,5.623797977
Cyprus,,,,,,,,,,,,,,,,489914761,576090074,734887974,964026512,1288715210,2154311277,2087496374,2159242417,2160364071,2278248953,2430411900,3090734463,3704813886,4278792597,4563482604,5591130218,5770197348,6912150456,6590291048,7425703929,9933133247,10011918444,9547818700,10248617647,10497908306,9985844486,10397897086,11420227885,14547325028,17320552500,18433411267,20072786351,23968764030,27844698989,25945391775,25732432719,27565469098,24978513427,23900872626,23128114787,19779150116,20890936462,22638608224,24961995749,24564647935,3.230090314
Iceland,248434097,253885656,284916516,340061650,434267937,523694949,628893310,621225962,474399472,414709311,527496591,671258750,840914457,1156175524,1517467734,1408989850,1671997859,2211828984,2515601748,2857724220,3386501918,3498247432,3211446626,2770107923,2868747035,2988537806,3995619693,5528616190,6115814935,5681096096,6478459747,6920116563,7091625419,6227928906,6399064571,7134341218,7438183247,7580988978,8494094899,8971608730,9003639598,8205357408,9294652006,11414055063,13834750404,16812530837,17216420298,21514962933,17905251718,13164652467,13683689690,15158548261,14724078152,16033517406,17758050019,17389101641,20618363256,24488176540,25737594325,24188035739,1.918676882
Trinidad and Tobago,535670128,584961209,619319197,678235373,711893368,736568862,723735636,761981474,758899950,779200000,821850000,896754317,1083381044,1308799459,2042031901,2442667573,2500410584,3138666667,3562333458,4602416625,6235833333,6992083333,8140416667,7763750000,7757083333,7375918367,4794444444,4797777778,4496852073,4323058824,5068000000,5307905882,5439552941,4669488516,4947205860,5329214163,5759537726,5737751332,6043694330,6808982521,8154338233,8824873259,9008273721,11305459802,13280275123,15982282462,18369361094,21641620050,27871587350,19172165226,22157948396,25433011405,25763220107,27268478565,27615843098,25062893969,22284780327,22474828527,23808146748,24100202834,-0.002371632
Senegal,1003692375,1058975266,1085475573,1122139637,1188930568,1210058396,1246908374,1246480959,1309384830,1245234807,1297407829,1339548824,1620857277,1863398448,2099324950,2830388405,2869777812,2938046307,3280354339,4084878668,4435050397,4021697233,3936758682,3512053232,3425127373,3750056424,5304238013,6381385760,6311054901,6219793533,7237100724,7111252866,7602005274,7189226453,4908415369,6176312552,6413189839,5915250258,6368265194,6512207622,5924239701,6174898370,6752510283,8683229268,10167441854,11022821632,11847848225,14285970085,16949789465,16248212852,16230887978,17902207622,17824398469,18965572150,19797254643,17774766636,19040312815,20996564752,23236007428,23578084052,5.271192358
Zambia,713000000,696285714,693142857,718714286,839428571,1082857143,1264285714,1368000000,1605857143,1965714286,1825285714,1687000000,1910714286,2268714286,3121833333,2618666667,2746714286,2483000000,2813375000,3325500000,3829500000,3872666667,3994777778,3216307692,2739444444,2281258065,1661948718,2269894737,3713614458,3998637681,3285217391,3378882353,3181921788,3273237853,3656647744,3807067122,3597220962,4303281932,3537683046,3404311977,3600683040,4094480988,4193845678,4901839731,6221077675,8331870169,12756858899,14056957976,17910858638,15328342304,20265559484,23459515276,25503060420,28045512871,27150646909,21243347377,20954761767,25868142077,27005238896,23064722446,1.705792875
Zimbabwe,1052990400,1096646600,1117601600,1159511700,1217138000,1311435800,1281749500,1397002000,1479599900,1747998800,1884206300,2178716300,2677729400,3309353600,3982161400,4371300700,4318372000,4364382100,4351600500,5177459400,6678868200,8011373800,8539700700,7764067000,6352125900,5637259300,6217523700,6741215100,7814784100,8286322700,8783816700,8641481700,6751472200,6563813300,6890675000,7111270700,8553146600,8529571600,6401968200,6858013100,6689957600,6777384700,6342116400,5727591800,5805598400,5755215200,5443896500,5291950100,4415702800,9665793300,12041655200,14101920300,17114849900,19091020000,19495519600,19963120600,20548678100,22040902300,24311560500,21440758800,-8.100000199
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469,1866572954,2786045322,3671816504,4116699437,4685733115,5505887894,5748993411,6651106833,8369878823,10596205714,11222953519,12864610994,15778767670,19112739664,17613836210,17176781337,18644723861,17226849297,18178503835,18558343508,16211541253,16913330694,18080118128,20183498491,20047848435,2.582627866
Afghanistan,537777811,548888896,546666678,751111191,800000044,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,,,,,,,,,,,,,,,,,,,,,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109225814,12439087077,15856574731,17804292964,20001598506,20561069558,20484885120,19907111419,19362642267,20191760000,19484384937,19101353833,2.901228964
Sudan,1307333333,1419333333,1541666667,1568333333,1611333333,1679333333,1723000000,1865666667,1947333333,2144333333,2437666667,2656000000,2882000000,3571666667,4595000000,5598000000,6979333333,8704000000,7670500000,9032250000,7459833333,10016500000,9240000000,8230153846,9701357143,12403733333,15769062500,20155555556,15399166667,15291507937,12408647541,11379222222,7034219713,8881785938,12794192334,13829744879,9018243044,11681494637,11250327988,10682045258,12257418326,13182979784,14803189093,17646503525,21457470203,26524538566,35822408612,45898948564,54526580232,49957202646,61739815527,57891984840,52766720139,57730424385,64941775065,74294471279,51772232495,45379127306,26078607539,18902284476,-2.55550594
Botswana,30412309,32902337,35643208,38091151,41613969,45790870,51464435,58646444,66248257,77356914,96245114,126957494,165258094,244129088,306033848,355172414,372010120,451603325,590376721,819877301,1060923829,1073861599,1014907255,1172258182,1240796365,1114764007,1392634772,1965274882,2644536804,3083800685,3790567052,3942792837,4146513722,4160086253,4259330999,4730611067,4847752843,5020214747,4790458837,5484257417,5788329609,5489608300,5438857107,7511582173,8957467707,9931134941,10126940513,10939053365,10945070442,10267133178,12786654366,15351972230,14420393564,14901750765,16250750259,14420604206,15646316818,17405538618,18663264706,18340510789,2.966135933
Lao PDR,,,,,,,,,,,,,,,,,,,,,,,,,1757142806,2366666616,1776842041,1087273104,598961269,714046821,865559856,1028087972,1127806945,1327748655,1543606345,1763536305,1873671550,1747011857,1280177839,1454430642,1731198022,1768619058,1758176653,2023324407,2366398120,2735558726,3452882514,4222962988,5443915121,5832915387,7127792630,8749241114,10191350120,11942230508,13268458232,14390442307,15805692546,16853087485,17953786416,18173839128,4.651887119
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7753501868,6357615894,3690328964,2701181331,2513870587,2693731866,3094935187,3510520231,3613498175,2800026339,3057475289,3219488664,3395728014,3991284895,5125365192,6410823633,7745394293,10172882371,12795076469,10766836277,12243505583,15107441447,16488403076,17189551521,17627003455,14953950557,15141758567,16242916916,17599700091,17743195770,5.136813264
Mali,,,,,,,,275494520,343771965,339913833,359772363,430096738,486617332,563683660,538747268,830710615,939227994,1049838493,1222702356,1595423286,1759690812,1538972158,1333754034,1297765449,1232932008,1392195933,1852163475,2090629723,2169040742,2181821902,2681912030,2724131545,2830673389,2818280876,2081846483,2706425298,2780422212,2697105694,2920358587,3439463140,2954129566,3465305993,3889758024,4703504467,5444474268,6247496491,6905876385,8145694632,9798741074,10190945007,10689167195,12995074801,12441946098,13242680701,14365345530,13104869674,14020002871,15375605992,17172022684,17510141171,5.040000002
Gabon,141468978,167637907,182796537,154480244,215679855,226474286,245849782,271543680,294468565,318124701,323802476,381687073,430508358,722780701,1544216004,2157592937,3009409971,2809349074,2389479269,3030251116,4279637934,3862269127,3618007844,3391275731,3561451562,3339914759,3403638194,3281797039,3834503378,4186411457,5952293766,5402919957,5592390849,4378645081,4190819314,4958845906,5694040337,5326816859,4483417120,4662992036,5067865321,5018874179,5310381151,6497305662,7756293575,9578973591,10318424464,12438956756,15508574820,12065138273,14372591916,18210308748,17170465294,17595745653,18203968002,14383107714,14023890620,14929488771,16862282414,16657960228,3.394110152
Jamaica,699050679,748028839,777712446,826690466,897931401,972140557,1096738065,1148025407,1083883355,1191287652,1404776071,1539865514,1875048860,1905917553,2375096249,2860411286,2966010230,3249697393,2644449232,2425033998,2679409453,2979061412,3293533288,3619294121,2373566957,2100223150,2754566176,3286987552,3828310735,4404970059,4592224067,4071219198,3530892749,5405097571,5419134875,6538840170,7368000000,8375077443,8763219645,8851581633,8985352832,9178016493,9694169757,9399447609,10150978155,11204416000,11901911988,12827809965,13680482787,12067478478,13220556883,14444655300,14807086889,14262589158,13897804560,14187696311,14075894320,14806340821,15713908816,16458071068,0.7
