Country,Time,Value
India,2020Q1,0.65894
India,2020Q2,25.2481
Latvia,2018Q4,0.89801068
Latvia,2019Q1,0.526247742
Latvia,2019Q2,0.642133589
Latvia,2019Q3,0.521661443
Latvia,2019Q4,0.114745108
Latvia,2020Q1,2.266938525
Latvia,2020Q2,7.076808782
Czech Republic,2018Q4,0.742058418
Czech Republic,2019Q1,0.525039301
Czech Republic,2019Q2,0.533997102
Czech Republic,2019Q3,0.462778435
Czech Republic,2019Q4,0.432102317
Czech Republic,2020Q1,3.300064307
Czech Republic,2020Q2,8.669938449
Poland,2018Q4,0.750622055
Poland,2019Q1,1.414164329
Poland,2019Q2,0.672249597
Poland,2019Q3,1.212097461
Poland,2019Q4,0.195212747
Poland,2020Q1,0.375024003
Poland,2020Q2,8.861465374
Germany,2018Q4,0.338921472
Germany,2019Q1,0.612222858
Germany,2019Q2,0.503593062
Germany,2019Q3,0.309311452
Germany,2019Q4,0.018690252
Germany,2020Q1,2.018693573
Germany,2020Q2,9.690955512
Indonesia,2018Q4,1.258912041
Indonesia,2019Q1,1.206547982
Indonesia,2019Q2,1.252182296
Indonesia,2019Q3,1.205692256
Indonesia,2019Q4,1.183452361
Indonesia,2020Q1,0.688345508
Indonesia,2020Q2,6.948334782
Luxembourg,2018Q4,0.368784482
Luxembourg,2019Q1,0.01869894
Luxembourg,2019Q2,2.154830271
Luxembourg,2019Q3,0.403184297
Luxembourg,2019Q4,0.370829119
Luxembourg,2020Q1,1.374458382
Luxembourg,2020Q2,7.193458508
South Africa,2018Q4,0.340712845
South Africa,2019Q1,0.803968545
South Africa,2019Q2,0.816710677
South Africa,2019Q3,0.209579097
South Africa,2019Q4,0.362879287
South Africa,2020Q1,0.456513041
South Africa,2020Q2,16.3548715
Russia,2018Q4,0.429617251
Russia,2019Q1,0.468618348
Russia,2019Q2,2.37118293
Russia,2019Q3,0.878903266
Russia,2019Q4,0.705263376
Russia,2020Q1,0.879546459
Russia,2020Q2,3.237636448
Portugal,2018Q4,0.416432642
Portugal,2019Q1,0.666772653
Portugal,2019Q2,0.542915963
Portugal,2019Q3,0.396466374
Portugal,2019Q4,0.662808505
Portugal,2020Q1,3.887718248
Portugal,2020Q2,13.85588239
Italy,2018Q4,0.164153385
Italy,2019Q1,0.182323387
Italy,2019Q2,0.11912555
Italy,2019Q3,0.01521159
Italy,2019Q4,0.203577444
Italy,2020Q1,5.508429952
Italy,2020Q2,13.03600147
Austria,2018Q4,0.850672169
Austria,2019Q1,0.80027473
Austria,2019Q2,0.317891543
Austria,2019Q3,0.30910888
Austria,2019Q4,0.53619398
Austria,2020Q1,2.482924715
Austria,2020Q2,12.08556195
Ireland,2018Q4,0.461883113
Ireland,2019Q1,1.035206842
Ireland,2019Q2,1.910990522
Ireland,2019Q3,3.275981313
Ireland,2019Q4,1.318017407
Ireland,2020Q1,2.054417735
Ireland,2020Q2,6.062896728
Switzerland,2018Q4,0.14523575
Switzerland,2019Q1,0.492510754
Switzerland,2019Q2,0.524881825
Switzerland,2019Q3,0.447283688
Switzerland,2019Q4,0.764806212
Switzerland,2020Q1,2.458383698
Switzerland,2020Q2,8.222119754
New Zealand,2018Q4,0.988612693
New Zealand,2019Q1,0.447294621
New Zealand,2019Q2,0.145090972
New Zealand,2019Q3,0.720095198
New Zealand,2019Q4,0.463651969
New Zealand,2020Q1,1.437603976
New Zealand,2020Q2,12.1642775
China,2018Q4,1.5
China,2019Q1,1.9
China,2019Q2,1.3
China,2019Q3,1
China,2019Q4,1.6
China,2020Q1,10
China,2020Q2,11.7
Chile,2018Q4,0.917787955
Chile,2019Q1,0.114972111
Chile,2019Q2,0.943877162
Chile,2019Q3,0.770257343
Chile,2019Q4,4.151056787
Chile,2020Q1,2.975585413
Chile,2020Q2,13.21523045
Sweden,2018Q4,1.134185704
Sweden,2019Q1,0.234188294
Sweden,2019Q2,0.062676427
Sweden,2019Q3,0.299957126
Sweden,2019Q4,0.122277751
Sweden,2020Q1,0.193310474
Sweden,2020Q2,8.302411323
France,2018Q4,0.653064217
France,2019Q1,0.545805518
France,2019Q2,0.245805777
France,2019Q3,0.154693014
France,2019Q4,0.196374882
France,2020Q1,5.871507832
France,2020Q2,13.81183945
Greece,2018Q4,0.4603408
Greece,2019Q1,0.619210546
Greece,2019Q2,0.854915137
Greece,2019Q3,0.212183472
